"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","3290.12","3229.85","3295.98","3204.40","","1.87%"
"05/19/2025","3229.85","3214.60","3249.91","3205.98","","0.85%"
"05/16/2025","3202.77","3239.11","3252.27","3154.32","","-1.18%"
"05/15/2025","3240.87","3178.06","3241.26","3120.52","","1.95%"
"05/14/2025","3178.75","3248.37","3257.39","3167.95","","-2.15%"
"05/13/2025","3248.47","3233.40","3265.44","3215.96","","0.43%"
"05/12/2025","3234.70","3324.98","3325.42","3207.67","","-2.70%"
"05/09/2025","3324.63","3305.51","3347.64","3274.94","","0.58%"
"05/08/2025","3305.52","3366.95","3414.96","3288.80","","-1.77%"
"05/07/2025","3365.21","3430.21","3438.59","3360.20","","-1.89%"
"05/06/2025","3430.21","3336.39","3435.17","3322.98","","2.87%"
"05/05/2025","3334.50","3240.00","3337.81","3237.81","","2.89%"
"05/02/2025","3240.88","3238.55","3269.49","3222.75","","0.00%"
"05/01/2025","3241.00","3288.55","3290.94","3202.09","","-1.45%"
"04/30/2025","3288.59","3316.92","3328.36","3267.09","","-0.86%"
"04/29/2025","3317.18","3341.67","3349.08","3299.23","","-0.73%"
"04/28/2025","3341.67","3328.40","3353.33","3267.81","","0.67%"
"04/25/2025","3319.45","3347.20","3371.15","3265.25","","-0.89%"
"04/24/2025","3349.10","3288.43","3367.59","3287.77","","1.85%"
"04/23/2025","3288.26","3382.55","3386.89","3260.50","","-2.79%"
"04/22/2025","3382.54","3421.57","3500.33","3366.74","","-1.22%"
"04/21/2025","3424.30","3334.41","3430.93","3327.82","","2.91%"
"04/17/2025","3327.54","3344.41","3358.00","3283.87","","-0.47%"
"04/16/2025","3343.22","3226.25","3345.19","3226.25","121.32K","3.58%"
"04/15/2025","3227.60","3210.21","3234.16","3209.36","121.32K","0.57%"
"04/14/2025","3209.28","3237.35","3245.84","3193.41","","-0.83%"
"04/11/2025","3236.21","3174.14","3245.69","3174.14","","1.96%"
"04/10/2025","3173.92","3083.75","3176.94","3071.03","","2.98%"
"04/09/2025","3082.18","2984.08","3099.87","2970.01","","3.30%"
"04/08/2025","2983.78","2983.39","3022.84","2974.45","","0.04%"
"04/07/2025","2982.54","3038.02","3055.88","2956.60","","-1.80%"
"04/04/2025","3037.36","3113.16","3137.10","3015.64","","-2.42%"
"04/03/2025","3112.83","3134.16","3168.04","3054.19","","-0.66%"
"04/02/2025","3133.57","3111.00","3140.36","3104.81","","0.74%"
"04/01/2025","3110.55","3123.36","3149.11","3100.85","","-0.40%"
"03/31/2025","3123.05","3086.54","3128.29","3076.62","","1.27%"
"03/28/2025","3084.03","3056.35","3086.93","3053.91","","0.91%"
"03/27/2025","3056.10","3019.56","3059.75","3017.26","","1.22%"
"03/26/2025","3019.29","3020.13","3032.23","3012.38","","-0.02%"
"03/25/2025","3019.85","3012.40","3035.94","3007.53","","0.25%"
"03/24/2025","3012.27","3023.03","3033.44","3002.34","","-0.38%"
"03/21/2025","3023.63","3042.60","3047.66","2999.46","","-0.68%"
"03/20/2025","3044.41","3046.31","3057.51","3025.56","","-0.09%"
"03/19/2025","3047.18","3032.20","3052.30","3022.73","","0.44%"
"03/18/2025","3033.95","2999.11","3038.45","2999.11","","1.08%"
"03/17/2025","3001.47","2985.80","3002.23","2982.13","","0.57%"
"03/14/2025","2984.42","2988.38","3005.08","2978.41","","-0.11%"
"03/13/2025","2987.75","2932.66","2989.64","2932.03","","1.90%"
"03/12/2025","2932.06","2916.85","2940.83","2906.19","","0.55%"
"03/11/2025","2916.04","2888.72","2922.22","2880.34","","0.92%"
"03/10/2025","2889.40","2912.17","2918.50","2880.30","","-0.73%"
"03/09/2025","2916.27","2912.42","2916.96","2909.87","","0.19%"
"03/07/2025","2910.79","2910.48","2930.56","2896.71","","0.03%"
"03/06/2025","2909.99","2918.98","2926.88","2891.34","","-0.30%"
"03/05/2025","2918.84","2917.59","2929.94","2894.19","","0.05%"
"03/04/2025","2917.49","2894.05","2928.15","2881.81","","0.82%"
"03/03/2025","2893.71","2856.71","2895.45","2855.63","","1.23%"
"02/28/2025","2858.60","2877.66","2885.34","2832.63","","-0.61%"
"02/27/2025","2876.19","2916.80","2920.96","2867.86","","-1.37%"
"02/26/2025","2916.19","2915.42","2930.22","2890.99","","0.04%"
"02/25/2025","2915.12","2951.82","2954.44","2888.06","","-1.22%"
"02/24/2025","2951.19","2936.41","2956.37","2920.77","","0.52%"
